year,location_code,coal_metal_export_share,oil_exports_share,primary_exports_share_1,primary_exports_share_2,exp_to_gdp,res_rents
1982,GBR,0.0322665204649506,0.153607137173096,0.0739483140885498,0.232233956494447,,
1983,GBR,0.0364141873420039,0.165478976946801,0.0732846117270085,0.24189444089014,,
1984,GBR,0.0327314234962721,0.172072159752096,0.0727503983637885,0.245852426305847,,
1985,GBR,0.0268346547589492,0.168036091865675,0.0690266086680958,0.238782923390011,,
1986,GBR,0.0309588755130123,0.0906738083510257,0.0775202934600731,0.170180278332517,,
1987,GBR,0.0261957854043522,0.0841668027538614,0.0754502925673296,0.160710878435273,,
1988,GRC,0.0384206041473304,0.0452469780611854,0.189233892600944,0.234588864161409,,
1989,GRC,0.0421746970269381,0.0488467881988631,0.225201414248627,0.274070109354736,,
1990,GRC,0.0348329778232444,0.0564545363280083,0.195258201136607,0.251713862063541,,
1991,GRC,0.0309341326852517,0.0464190335902188,0.199088213811312,0.24552212926764,,
1992,GRC,0.0280987167138583,0.033609360110579,0.192686689128216,0.226390684706648,,
1993,GRC,0.0281966754700744,0.0406574241939925,0.17816775901723,0.219136897571698,,
1994,GRC,0.0267449444977859,0.0556010038832944,0.179218610901284,0.234858839897976,,
1995,GRC,0.0352804793865389,0.0375039287221989,0.190365187075713,0.227910712037081,,
1996,GRC,0.0316118409612284,0.0507848939225802,0.201363891204573,0.252315236990895,,
1997,GRC,0.0351434255201079,0.0468692824840344,0.174800677922092,0.22194902121199,,
1998,GRC,0.0691138821484877,0.0742482387047064,0.316861131210762,0.39166188713174,,
1999,GRC,0.025275037025073,0.0387499763535745,0.130008052686602,0.169083010954155,,
2000,GRC,0.0257498854280109,0.038413773343335,0.0942845840124972,0.133079877373266,,
2001,GRC,0.0308918845694385,0.0316259494612565,0.100569164575241,0.132221347132447,,
2002,GRC,0.0269651417324248,0.024838646201788,0.10167826943654,0.126840588000082,,
2003,GRC,0.0268291047749178,0.0236743689119926,0.0980499662293523,0.122541439395557,,
2004,GRC,0.0267612138003738,0.0193263589373127,0.0782238421883452,0.0988124427128829,,
