iso2c,country,year,ne.trd.gnfs.zs,ne.exp.gnfs.zs,NE.IMP.GNFS.ZS
CZ,Czech Republic,2005,122.015258515417,62.181957290981,59.8333012244363
CZ,Czech Republic,2006,127.632502637499,65.1862987851849,62.4462038523137
CZ,Czech Republic,2007,130.372902700621,66.4089661851449,63.963936515476
CZ,Czech Republic,2008,124.288831562303,63.2263674242076,61.0624641380954
CZ,Czech Republic,2009,113.492768818716,58.6842997764355,54.8084690422803
CZ,Czech Republic,2010,128.967077051047,66.0295210253014,62.9375560257456
CZ,Czech Republic,2011,138.784978264669,71.3071567311351,67.4778215335339
CZ,Czech Republic,2012,147.537458939997,76.1700746223071,71.3673843176896
CZ,Czech Republic,2013,147.978174425006,76.8709518101924,71.1072226148134
CZ,Czech Republic,2014,158.726956742669,82.5456924295555,76.1812643131131
CZ,Czech Republic,2015,156.099863722896,81.0493010657814,75.0505626571141
CZ,Czech Republic,2016,151.394675743867,79.5556198733638,71.8390558705031
DE,Germany,1962,,,
DE,Germany,1963,,,
DE,Germany,1964,,,
DE,Germany,1965,,,
DE,Germany,1966,,,
DE,Germany,1967,,,
DE,Germany,1968,,,
DE,Germany,1969,,,
DE,Germany,1970,31.8155483722306,15.1700213743282,16.6455269979024
DE,Germany,1971,30.9459003050632,14.6001387452274,16.3457615598358
DE,Germany,1972,30.8344370581945,14.5930156736184,16.2414213845761
DE,Germany,1973,31.8077841214888,15.3974036525952,16.4103804688935
DE,Germany,1974,37.074439055349,18.2870297959623,18.7874092593866
DE,Germany,1975,36.0255816499697,17.1575951576623,18.8679864923074
DE,Germany,1976,38.4972486719417,18.1212991875784,20.3759494843633
DE,Germany,1977,38.2301505974497,18.0292954608651,20.2008551365846
DE,Germany,1978,37.3036255570964,17.6851398487857,19.6184857083107
DE,Germany,1979,39.3552100939341,17.8735353545983,21.4816747393358
DE,Germany,1980,41.9938930471203,18.6723219396538,23.3215711074665
DE,Germany,1981,44.3302124753721,20.190086669762,24.1401258056101
DE,Germany,1982,44.5349453242277,20.9272773791086,23.6076679451191
DE,Germany,1983,43.7201739789873,20.347087445712,23.3730865332753
DE,Germany,1984,46.3959011796766,21.7851851327338,24.6107160469429
DE,Germany,1985,48.0736790945183,23.0019500747403,25.071729019778
DE,Germany,1986,43.085752999907,21.3455537647152,21.7401992351918
DE,Germany,1987,41.8264475858919,20.7397885166044,21.0866590692875
DE,Germany,1988,42.6662605609414,21.1479613915212,21.5182991694203
DE,Germany,1989,45.3646253285851,22.3608117328151,23.00381359577
DE,Germany,1990,46.0141918466429,22.8984997616622,23.1156920849808
DE,Germany,1991,47.9745537409799,23.7298392201544,24.2447145208254
DE,Germany,1992,45.0500200552108,22.2637024278602,22.7863176273506
DE,Germany,1993,40.644305281519,20.3544079380058,20.2898973435132
DE,Germany,1994,42.0729501882215,21.1350113916374,20.9379387965841
DE,Germany,1995,43.5447210987529,22.0064459049545,21.5382751937985
DE,Germany,1996,44.9967295153453,22.9086029320154,22.0881265833299
DE,Germany,1997,49.6010350314424,25.3919749477655,24.2090600836769
DE,Germany,1998,51.5828721206206,26.4533774644119,25.1294946562087
DE,Germany,1999,53.3694451977839,27.0412324202859,26.328212777498
DE,Germany,2000,61.3899965981252,30.8295377230118,30.5604588751134
DE,Germany,2001,61.9777966373833,31.8706791751726,30.1071174622107
DE,Germany,2002,60.7730085231002,32.5740396235895,28.1989688995107
DE,Germany,2003,61.5191344456056,32.591483189795,28.9276512558106
DE,Germany,2004,65.8561097849926,35.4484237785274,30.4076860064652
DE,Germany,2005,70.421190337526,37.7404535695349,32.6807367679911
DE,Germany,2006,77.0821685991852,41.1903478533375,35.8918207458477
DE,Germany,2007,79.3705311491587,43.0099115480875,36.3606196010711
DE,Germany,2008,80.9449046351308,43.4598749287594,37.4850297063715
DE,Germany,2009,70.6650462548978,37.8022013754532,32.8628448794446
DE,Germany,2010,79.3030782229871,42.2503740223096,37.0527042006775
DE,Germany,2011,84.7477359495694,44.8181730740774,39.929562875492
DE,Germany,2012,85.8747543741344,45.982539717068,39.8922146570664
DE,Germany,2013,84.83642578125,45.3978784533514,39.4385473278985
DE,Germany,2014,84.3652568068359,45.6448160512355,38.7204407556005
DE,Germany,2015,85.7119710317955,46.8597442978687,38.8522267339268
DE,Germany,2016,83.9622122003323,45.8970488171533,38.0651633831791
DK,Denmark,1962,61.1243865612386,28.6194585200142,32.5049280412244
DK,Denmark,1963,61.1942486568197,30.4029648010097,30.79128385581
DK,Denmark,1964,62.4801730870475,29.8521605315621,32.6280125554854
DK,Denmark,1965,60.8372776984055,29.2971283600682,31.5401493383373
DK,Denmark,1966,59.3351573013005,28.5519489369917,30.7832083643087
DK,Denmark,1967,57.3370432495437,27.3355832797873,30.0014599697564
DK,Denmark,1968,57.3598790577062,27.6631535297528,29.6967255279534
DK,Denmark,1969,57.9455106144874,27.5513295417051,30.3941810727823
DK,Denmark,1970,57.1346328077322,27.1508585124731,29.9837742952591
DK,Denmark,1971,55.6744907654822,26.8244495558747,28.8500412096074
DK,Denmark,1972,53.2212142231265,26.4065176139023,26.8146966092243
DK,Denmark,1973,57.83977988835,27.9729005136744,29.8668793746756
DK,Denmark,1974,64.6614281790602,30.6563986526804,34.0050295263798
DK,Denmark,1975,59.7005599503019,29.3704327688208,30.3301271814812
DK,Denmark,1976,61.0072831616952,28.2378243077382,32.769458853957
DK,Denmark,1977,60.2826675710115,28.357587305515,31.9250802654966
DK,Denmark,1978,57.0528327568408,27.4182006407259,29.6346321161149
DK,Denmark,1979,60.8479059269229,29.2330998788566,31.6148060480663
DK,Denmark,1980,65.4557700528179,32.502748369768,32.9530216830498
DK,Denmark,1981,70.7447485984064,36.0757857619901,34.6689628364164
DK,Denmark,1982,70.8385664242434,35.8736083513916,34.9649580728519
DK,Denmark,1983,69.6329632482575,35.9212487179396,33.7117145303178
DK,Denmark,1984,70.9085487063504,36.2926593207851,34.6158893855654
DK,Denmark,1985,72.0872374813488,36.4310695498029,35.6561679315458
DK,Denmark,1986,64.7973169393813,32.2990998180346,32.4982171213467
DK,Denmark,1987,61.3529045654342,31.7038063236064,29.6490982418278
DK,Denmark,1988,63.7553298975364,33.6157384218489,30.1395914756875
DK,Denmark,1989,67.0449403002356,35.4199822371694,31.6249580630662
DK,Denmark,1990,67.2901860479215,36.42316575898,30.8670202889415
DK,Denmark,1991,69.1465387414508,37.682525173451,31.4640135679998
DK,Denmark,1992,67.00189575202,36.9543617694923,30.0475339825277
DK,Denmark,1993,65.6049782477471,36.5662236340973,29.0387546136497
DK,Denmark,1994,67.7805462562439,36.8519061193259,30.9286401369179
DK,Denmark,1995,68.5146120351531,36.6120007424766,31.9026112926765
DK,Denmark,1996,68.4713034193345,37.0673915300522,31.4039118892822
DK,Denmark,1997,71.1684044678411,37.7628393247991,33.405565143042
DK,Denmark,1998,71.2991459561332,37.186562120747,34.1125838353862
DK,Denmark,1999,72.6972144590347,39.3484362770782,33.3487781819566
DK,Denmark,2000,82.9839817260338,44.8473012861904,38.1366804398434
DK,Denmark,2001,83.968573468422,45.5545064906663,38.4140669777557
DK,Denmark,2002,84.5569381466134,45.7044772004665,38.8524609461469
DK,Denmark,2003,80.8817119935111,43.8384170108668,37.0432949826443
DK,Denmark,2004,82.2077917650612,43.928462778942,38.2793289861192
DK,Denmark,2005,89.3997573758886,47.452112967811,41.9476444080775
DK,Denmark,2006,97.3666852003235,50.7300235985431,46.6366616017804
DK,Denmark,2007,100.067844103366,51.4825558121417,48.5852882912247
DK,Denmark,2008,104.828228738133,54.1758146222095,50.6524141159233
DK,Denmark,2009,89.755057755804,47.1260652149109,42.6289925408931
DK,Denmark,2010,94.1000005223296,50.522948015908,43.5770525064216
DK,Denmark,2011,101.245761268682,53.8201291647255,47.425632103956
DK,Denmark,2012,103.240985379852,54.6304891096979,48.6104962701538
DK,Denmark,2013,103.05014595515,54.828812353477,48.2213336016725
DK,Denmark,2014,102.263920935599,54.613119296736,47.6508016388626
DK,Denmark,2015,104.04820103264,55.418153077577,48.6300479550629
DK,Denmark,2016,100.450233712353,53.5939130176726,46.8563206946799
EE,Estonia,1962,,,
EE,Estonia,1963,,,
EE,Estonia,1964,,,
EE,Estonia,1965,,,
EE,Estonia,1966,,,
EE,Estonia,1967,,,
EE,Estonia,1968,,,
EE,Estonia,1969,,,
EE,Estonia,1970,,,
EE,Estonia,1971,,,
EE,Estonia,1972,,,
